Movie_title,Movie_title-href,Title,Director_1,Director_2,Actor_1,Actor_2,Actor_3,writer_1,writer_2,plot_Keyword_1,Plot_keyWord_2,plot_keyword_3,Genre_1,Genre_2,Genre_3,Production_Company_1,Production_Company_2,production_company_3,Release_month,Certificate_link,Certificate_link-href,Certificate,award_link,award_link-href,Award_1,Number_of_IMDB_user_reviews,Number_of_IMDB_critic_reviews,Number_of_IMBb_ratings,IMDb_score,Award_1_status,award_2,Award_2_status,Popularity,total_award_nomination,Country,language_1,language_2,film_location_1
Intent to Destroy,http://www.imdb.com/title/tt6794462/?ref_=adv_li_tt,Intent to Destroy (2017),Joe Berlinger,null,Joe Berlinger,Hagop Asadourian,Hagop Asadourian,Joe Berlinger,Cy Christiansen,genocide,armenian genocide,historian,genocide,armenian genocide,1 news article,null,null,null,null,,,,See more awards,http://www.imdb.com/title/tt6794462/awards?ref_=tt_awd,"Golden Apricot Festival film of Yerevan
 2017",2 user,15 critic,8.5,213,null,"San Francisco Jewish Film Festival
 2017",null,null,See more awards »,English,See more,null,company contact information
Intent to Destroy,http://www.imdb.com/title/tt6794462/?ref_=adv_li_tt,Intent to Destroy (2017),Joe Berlinger,null,Joe Berlinger,Hagop Asadourian,Hagop Asadourian,Joe Berlinger,Cy Christiansen,genocide,armenian genocide,historian,genocide,armenian genocide,1 news article,null,null,null,null,See more,http://www.imdb.com/title/tt6794462/releaseinfo?ref_=tt_dt_dt,null,,,,2 user,15 critic,8.5,213,,,,null,See more awards »,English,See more,null,company contact information
School Life,http://www.imdb.com/title/tt5475022/?ref_=adv_li_tt,School Life (2016),Neasa Ní Chianáin,David Rane,Etienne Essery,Soilsu Films,Soilsu Films,Etienne Essery,Neasa Ní Chianáin,null,null,null,Documentary,null,1 video,Gris Medio,Radio Televisión Española (RTVE),Soilsu Films,null,,,,See more awards,http://www.imdb.com/title/tt5475022/awards?ref_=tt_awd,"DocAviv Film Festival
 2017",15 critic,null,8.3,72,null,"Krakow Film Festival
 2017",null,null,See more awards »,Ireland,MPAA,Spanish,Ireland
The Celluloid Closet,http://www.imdb.com/title/tt0112651/?ref_=adv_li_tt,The Celluloid Closet (1995),Rob Epstein,Jeffrey Friedman,Vito Russo,Susie Bright,Susie Bright,Vito Russo,Rob Epstein,gay,lesbian,reference to eve arden,gay,lesbian,107 news articles,Arte,Brillstein-Grey Entertainment,Channel Four Films,15 March 1996 (USA),null,,,,,,49 user,33 critic,7.8,"5,368",,,,null,"Another
      7 wins & 4 nominations.",France,English,null,null
Indie Game: The Movie,http://www.imdb.com/title/tt1942884/?ref_=adv_li_tt,Indie Game: The Movie (2012),Lisanne Pajot,James Swirsky,Jonathan Blow,Renaud Bédard,Renaud Bédard,Jonathan Blow,Brandon Boyer,movie in title,null,null,movie in title,Drama,2 videos,BlinkWorks Media,null,null,15 September 2012 (Taiwan),null,,,,,,26 user,49 critic,7.7,"18,642",,,,null,See more awards »,Canada,English,French,null
Fuck,http://www.imdb.com/title/tt0486585/?ref_=adv_li_tt,Fuck (2005),Steve Anderson,null,Drew Carey,Bill Maher,Bill Maher,Drew Carey,Billy Connolly,word,free speech,f word,word,free speech,115 news articles,Bad Apple Films,Mudflap Films,Rainstorm Entertainment,null,,,,null,,,32 user,41 critic,7.1,"4,075",,,,null,null,English,See more,null,null
Stevie,http://www.imdb.com/title/tt0334416/?ref_=adv_li_tt,Stevie (2002),Steve James,null,Steve James,Tonya Gregory,Tonya Gregory,Steve James,Stephen Fielding,filmmaker,criminal justice system,illinois,filmmaker,criminal justice system,10 news articles,Kartemquin Films,SenArt Films,null,null,See more,http://www.imdb.com/title/tt0334416/releaseinfo?ref_=tt_dt_dt,null,,,,54 user,39 critic,8,"2,236",,,,null,See more awards »,English,See more,null,null
The Decline of Western Civilization Part III,http://www.imdb.com/title/tt0138393/?ref_=adv_li_tt,The Decline of Western Civilization Part III (1998),Penelope Spheeris,null,Stephen Chambers,Gary Fredo,Gary Fredo,Stephen Chambers,Flea,punk,title directed by female,third part,punk,title directed by female,third part,Spheeris Films Inc.,null,null,13 November 1998 (USA),null,,,,,,8 user,23 critic,7.2,699,,,,null,See more awards »,USA,English,null,null
Top 40 Ultimate Action Movies,http://www.imdb.com/title/tt3638726/?ref_=adv_li_tt,Top 40 Ultimate Action Movies (2014),Abdullai Adejumo,Dan Exelby,Vinnie Jones,James Acaster,James Acaster,Vinnie Jones,Stephen Mangan,null,null,null,Documentary,null,null,Objective Productions,Crook Productions,Channel 5 Television,null,,,,null,,,null,null,7.3,13,,,,null,null,UK,English,null,company contact information
Visions and Voyeurism,http://www.imdb.com/title/tt0185749/?ref_=adv_li_tt,Visions and Voyeurism (1998),D. Kelly Marsalis,null,Pandora Peaks,null,null,Pandora Peaks,null,erotica,buxom,independent film,erotica,buxom,independent film,Setec Astronomy Productions,null,null,null,,,,null,,,1 user,null,7.4,27,,,,null,null,English,Setec Astronomy Productions,null,null
I Know What I Saw,http://www.imdb.com/title/tt1579236/?ref_=adv_li_tt,I Know What I Saw (2009),James Fox,Tim Coleman,Tom Christopher,Kenneth Arnold,Kenneth Arnold,Tom Christopher,Tim Coleman,five word title,airplane passenger,paris france,five word title,airplane passenger,3 news articles,History Channel,null,null,null,,,,null,,,1 user,2 critic,7.3,324,,,,null,null,USA,English,null,company contact information
The Arrivals,http://www.imdb.com/title/tt5953850/?ref_=adv_li_tt,The Arrivals (2016),Tom Bateman,null,null,null,null,null,null,null,null,null,Documentary,null,null,null,null,null,null,,,,null,,,null,null,6.5,34,,,,null,null,English,Add content advisory for parents,IMDbPro,null
The White Diamond,http://www.imdb.com/title/tt0435776/?ref_=adv_li_tt,The White Diamond (2004),Werner Herzog,null,Werner Herzog,Dieter Plage,Dieter Plage,Werner Herzog,Rudolph Herzog,airship,expedition,canopy,airship,expedition,14 news articles,Marco Polo Film AG,NDR Naturfilm,NHK,null,,,,See more awards,http://www.imdb.com/title/tt0435776/awards?ref_=tt_awd,"CPH:DOX
 2005",30 user,33 critic,7.6,"3,761",null,"New York Film Critics Circle Awards
 2005",null,null,See more awards »,English,See more,null,null
Louis Theroux: Drinking to Oblivion,http://www.imdb.com/title/tt5561592/?ref_=adv_li_tt,Louis Theroux: Drinking to Oblivion (2016),Tom Barrow,null,Louis Theroux,Ian Webzell,Ian Webzell,Louis Theroux,null,null,null,null,Documentary,null,null,BBC Documentaries,null,null,null,See more,http://www.imdb.com/title/tt5561592/releaseinfo?ref_=tt_dt_dt,null,,,,2 user,1 critic,7.6,528,,,,null,null,English,See more,null,null
Child of Rage,http://www.imdb.com/title/tt3638298/?ref_=adv_li_tt,Child of Rage (1990),Joel Craiger,Ken Magid,null,Beth Thomas,Beth Thomas,null,null,reactive attachment disorder,therapy,sexual abuse,reactive attachment disorder,therapy,sexual abuse,Home Box Office (HBO),null,null,TV Short 1 January 1990,,,,null,,,1 user,null,7.4,645,,,,null,null,English,See more,null,company contact information
A Skin So Soft,http://www.imdb.com/title/tt7133648/?ref_=adv_li_tt,A Skin So Soft (2017),Denis Côté,null,Denis Côté,Benoit Lapierre,Benoit Lapierre,Denis Côté,null,strongman,gym,bodybuilder,strongman,gym,bodybuilder,Art & Essai,Close Up Films,null,4 August 2017 (Switzerland),See more,http://www.imdb.com/title/tt7133648/releaseinfo?ref_=tt_dt_dt,null,,,,4 critic,null,5.5,13,,,,null,See more awards »,English,See more,null,company contact information
Doomed: The Untold Story of Roger Corman's the Fantastic Four,http://www.imdb.com/title/tt3113456/?ref_=adv_li_tt,Doomed: The Untold Story of Roger Corman's the Fantastic Four (2015),Marty Langford,null,Marty Langford,Joseph Culp,Joseph Culp,Marty Langford,null,comic book,superhero,null,comic book,superhero,3 news articles,null,null,null,null,null,,,,,,5 user,24 critic,6.9,338,,,,null,null,USA,English,null,null
Now More Than Ever: The History of Chicago,http://www.imdb.com/title/tt3807496/?ref_=adv_li_tt,Now More Than Ever: The History of Chicago (2016),Peter Pardini,null,Lee Loughnane,Walter Parazaider,Walter Parazaider,Lee Loughnane,Robert Lamm,reenactment,null,History,reenactment,Biography,6 news articles,Chicago Records II,null,null,History,,,,See more awards,http://www.imdb.com/title/tt3807496/awards?ref_=tt_awd,"Fort Myers Beach Film Festival
 2016",9 user,2 critic,7.2,210,null,"Sedona International Film Festival
 2016",null,null,See more awards »,USA,English,null,company contact information
Indie Sex: Teens,http://www.imdb.com/title/tt0970496/?ref_=adv_li_tt,Indie Sex: Teens (2007),Lisa Ades,null,Rosanna Arquette,Jami Bernard,Jami Bernard,Rosanna Arquette,Jamie Babbit,sex in bed,sex,sexuality,sex in bed,sex,sexuality,Orchard Films,null,null,TV Movie 4 January 2008,See more,http://www.imdb.com/title/tt0970496/releaseinfo?ref_=tt_dt_dt,null,,,,1 user,1 critic,6.9,389,,,,null,null,English,See more,null,company contact information
Mirage Men,http://www.imdb.com/title/tt2254010/?ref_=adv_li_tt,Mirage Men (2013),John Lundberg,Roland Denning,Mark Pilkington,Tracy Tormé,Tracy Tormé,Mark Pilkington,null,ufo,counter intelligence,military secret,ufo,counter intelligence,1 video,Perception Management Productions,null,null,null,null,,,,,,2 user,26 critic,6.4,429,,,,null,null,UK,English,null,null
Wheel of Time,http://www.imdb.com/title/tt0331080/?ref_=adv_li_tt,Wheel of Time (2003),Werner Herzog,null,Werner Herzog,Takna Jigme Sangpo,Takna Jigme Sangpo,Werner Herzog,null,buddhist,null,null,buddhist,null,13 news articles,Werner Herzog Filmproduktion,West Park Pictures Produktion,ARTE,null,See more,http://www.imdb.com/title/tt0331080/releaseinfo?ref_=tt_dt_dt,null,,,,16 user,27 critic,7.2,"1,855",,,,null,null,German,See more,null,null
The Perfect Human Diet,http://www.imdb.com/title/tt2014248/?ref_=adv_li_tt,The Perfect Human Diet (2012),C.J. Hunt,null,C.J. Hunt,Susan Loraine Anderson,Susan Loraine Anderson,C.J. Hunt,null,diet,epidemic,obesity,diet,epidemic,obesity,Hunt Thompson Media,null,null,1 January 2013 (USA),null,,,,,,14 user,null,6.5,544,,,,null,null,USA,English,null,"Atlanta, Georgia, USA"
Hell or High Water,http://www.imdb.com/title/tt3065774/?ref_=adv_li_tt,Hell or High Water,Andy Neitzert,Sara Neitzert,null,null,null,null,null,null,null,null,Documentary,null,null,AndSara Productions,null,null,null,,,,null,,,null,null,null,null,,,,null,null,English,Add content advisory for parents,null,company contact information
Particle Fever,http://www.imdb.com/title/tt1385956/?ref_=adv_li_tt,Particle Fever (2013),Mark Levinson,null,David Kaplan,Sherwood Boehlert,Sherwood Boehlert,David Kaplan,Fabiola Gianotti,ends with biographical notes,physicist,125 gev,ends with biographical notes,physicist,125 gev,Particle Fever,Anthos Media,null,null,null,,,,,,29 user,44 critic,7.4,"6,299",,,,null,See more awards »,USA,English,null,"Geneva, Canton de Genève, Switzerland"
Hell or High Water,http://www.imdb.com/title/tt3065774/?ref_=adv_li_tt,Hell or High Water,Andy Neitzert,Sara Neitzert,null,null,null,null,null,null,null,null,Documentary,null,null,AndSara Productions,null,null,null,Add content advisory for parents,http://www.imdb.com/title/tt3065774/parentalguide?ref_=tt_stry_pg,null,,,,null,null,null,null,,,,null,null,English,Add content advisory for parents,null,company contact information
Now More Than Ever: The History of Chicago,http://www.imdb.com/title/tt3807496/?ref_=adv_li_tt,Now More Than Ever: The History of Chicago (2016),Peter Pardini,null,Lee Loughnane,Walter Parazaider,Walter Parazaider,Lee Loughnane,Robert Lamm,reenactment,null,History,reenactment,Biography,6 news articles,Chicago Records II,null,null,History,null,,,,,,9 user,2 critic,7.2,210,,,,null,See more awards »,USA,English,null,company contact information
Wheel of Time,http://www.imdb.com/title/tt0331080/?ref_=adv_li_tt,Wheel of Time (2003),Werner Herzog,null,Werner Herzog,Takna Jigme Sangpo,Takna Jigme Sangpo,Werner Herzog,null,buddhist,null,null,buddhist,null,13 news articles,Werner Herzog Filmproduktion,West Park Pictures Produktion,ARTE,null,,,,null,,,16 user,27 critic,7.2,"1,855",,,,null,null,German,See more,null,null
Louis Theroux: Drinking to Oblivion,http://www.imdb.com/title/tt5561592/?ref_=adv_li_tt,Louis Theroux: Drinking to Oblivion (2016),Tom Barrow,null,Louis Theroux,Ian Webzell,Ian Webzell,Louis Theroux,null,null,null,null,Documentary,null,null,BBC Documentaries,null,null,null,,,,null,,,2 user,1 critic,7.6,528,,,,null,null,English,See more,null,null
Top 40 Ultimate Action Movies,http://www.imdb.com/title/tt3638726/?ref_=adv_li_tt,Top 40 Ultimate Action Movies (2014),Abdullai Adejumo,Dan Exelby,Vinnie Jones,James Acaster,James Acaster,Vinnie Jones,Stephen Mangan,null,null,null,Documentary,null,null,Objective Productions,Crook Productions,Channel 5 Television,null,null,,,,,,null,null,7.3,13,,,,null,null,UK,English,null,company contact information
Command and Control,http://www.imdb.com/title/tt5598206/?ref_=adv_li_tt,Command and Control (2016),Robert Kenner,null,Robert Kenner,Bill Clinton,Bill Clinton,Robert Kenner,Brian Pearle,arkansas,nuclear warhead,fuel leak,arkansas,nuclear warhead,47 news articles,null,null,null,17 April 2016 (USA),,,,See more awards,http://www.imdb.com/title/tt5598206/awards?ref_=tt_awd,"Hollywood Music In Media Awards (HMMA)
 2016",5 user,13 critic,7.2,402,null,"Writers Guild of America, USA
 2017",null,null,See more awards »,USA,English,null,null
Elstree 1976,http://www.imdb.com/title/tt4558042/?ref_=adv_li_tt,Elstree 1976 (2015),Jon Spira,null,Jon Spira,John Chapman,John Chapman,Jon Spira,null,null,null,null,Documentary,null,5 videos,British Film Company,Canal Cat Films,Verax Films,null,null,,,,,,14 user,36 critic,6,892,,,,null,null,UK,English,null,null
Stevie,http://www.imdb.com/title/tt0334416/?ref_=adv_li_tt,Stevie (2002),Steve James,null,Steve James,Tonya Gregory,Tonya Gregory,Steve James,Stephen Fielding,filmmaker,criminal justice system,illinois,filmmaker,criminal justice system,10 news articles,Kartemquin Films,SenArt Films,null,null,,,,See more awards,http://www.imdb.com/title/tt0334416/awards?ref_=tt_awd,"Amsterdam International Documentary Film Festival
 2002",54 user,39 critic,8,"2,236",null,"Chicago Film Critics Association Awards
 2004",null,null,See more awards »,English,See more,null,null
Home,http://www.imdb.com/title/tt1014762/?ref_=adv_li_tt,Home (2009),Yann Arthus-Bertrand,null,Isabelle Delannoy,Jacques Gamblin,Jacques Gamblin,Isabelle Delannoy,Yann Arthus-Bertrand,earth,tar sands,Family,earth,tar sands,1 video,Elzévir Films,EuropaCorp,France 2 (FR2),Family,null,,,,,,47 user,25 critic,8.6,"19,371",,,,null,See more awards »,France,French,English,null
Particle Fever,http://www.imdb.com/title/tt1385956/?ref_=adv_li_tt,Particle Fever (2013),Mark Levinson,null,David Kaplan,Sherwood Boehlert,Sherwood Boehlert,David Kaplan,Fabiola Gianotti,ends with biographical notes,physicist,125 gev,ends with biographical notes,physicist,125 gev,Particle Fever,Anthos Media,null,null,,,,See more awards,http://www.imdb.com/title/tt1385956/awards?ref_=tt_awd,"360° Contemporary Science Film Festival
 2013",29 user,44 critic,7.4,"6,299",null,"Alfred I. duPont-Columbia University Awards
 2015",null,null,See more awards »,USA,English,null,"Geneva, Canton de Genève, Switzerland"
180° South,http://www.imdb.com/title/tt1407927/?ref_=adv_li_tt,180° South (2010),Chris Malloy,null,Jeff Johnson,Keith Malloy,Keith Malloy,Jeff Johnson,Chris Malloy,digit in title,cardinal direction in title,Sport,digit in title,cardinal direction in title,2 videos,Woodshed Films Inc.,null,null,Sport,null,,,,,,18 user,5 critic,7.7,"2,503",,,,null,null,USA,English,Spanish,"Baja California, Mexico"
American Bigfoot,http://www.imdb.com/title/tt6048388/?ref_=adv_li_tt,American Bigfoot (2016),Bobcat Goldthwait,null,Alexie Gilmore,James Fay,James Fay,Alexie Gilmore,Bryce Johnson,null,null,null,Documentary,Short,null,Type 55 Films,null,null,null,,,,null,,,null,null,7.4,5,,,,null,null,English,Add content advisory for parents,null,Color
Los Ojos del Mar,http://www.imdb.com/title/tt6195848/?ref_=adv_li_tt,Los Ojos del Mar (2017),José Álvarez,null,Diego Rivera Kohn,Hortensia Pérez Rocha,Hortensia Pérez Rocha,Diego Rivera Kohn,José Álvarez,null,null,null,Documentary,null,null,Piano,null,null,null,See more,http://www.imdb.com/title/tt6195848/releaseinfo?ref_=tt_dt_dt,null,,,,1 user,null,8.6,5,,,,null,See more awards »,Spanish,See more,null,null
Fuck,http://www.imdb.com/title/tt0486585/?ref_=adv_li_tt,Fuck (2005),Steve Anderson,null,Drew Carey,Bill Maher,Bill Maher,Drew Carey,Billy Connolly,word,free speech,f word,word,free speech,115 news articles,Bad Apple Films,Mudflap Films,Rainstorm Entertainment,null,See more,http://www.imdb.com/title/tt0486585/taglines?ref_=tt_stry_tg,null,,,,32 user,41 critic,7.1,"4,075",,,,null,null,English,See more,null,null
Drone,http://www.imdb.com/title/tt3801730/?ref_=adv_li_tt,Drone (2014),Tonje Hessen Schei,null,Tonje Hessen Schei,Brandon Bryant,Brandon Bryant,Tonje Hessen Schei,null,drone pilot,pakistan,War,drone pilot,pakistan,13 news articles,Flimmer Film,Radiator Film,Volt Film,War,,,,See more awards,http://www.imdb.com/title/tt3801730/awards?ref_=tt_awd,"Amanda Awards, Norway
 2015",5 user,25 critic,6.9,575,null,"Bergen International Film Festival
 2014",null,null,See more awards »,Norway,See more,Urdu,null
Indie Game: The Movie,http://www.imdb.com/title/tt1942884/?ref_=adv_li_tt,Indie Game: The Movie (2012),Lisanne Pajot,James Swirsky,Jonathan Blow,Renaud Bédard,Renaud Bédard,Jonathan Blow,Brandon Boyer,movie in title,null,null,movie in title,Drama,2 videos,BlinkWorks Media,null,null,15 September 2012 (Taiwan),,,,See more awards,http://www.imdb.com/title/tt1942884/awards?ref_=tt_awd,"Canadian Screen Awards, CA
 2013",26 user,49 critic,7.7,"18,642",null,"Cinema Eye Honors Awards, US
 2013",null,null,See more awards »,Canada,English,French,null
The King of Ads,http://www.imdb.com/title/tt2243597/?ref_=adv_li_tt,The King of Ads (1991),Ricardo Albiñana,Jean-Jacques Annaud,Vanessa Paradis,null,null,Vanessa Paradis,Emmanuelle Seigner,director,commercial,tv commercial,director,commercial,tv commercial,null,null,null,null,,,,null,,,1 user,null,5.9,110,,,,null,null,English,See more,null,Stereo
Command and Control,http://www.imdb.com/title/tt5598206/?ref_=adv_li_tt,Command and Control (2016),Robert Kenner,null,Robert Kenner,Bill Clinton,Bill Clinton,Robert Kenner,Brian Pearle,arkansas,nuclear warhead,fuel leak,arkansas,nuclear warhead,47 news articles,null,null,null,17 April 2016 (USA),null,,,,,,5 user,13 critic,7.2,402,,,,null,See more awards »,USA,English,null,null
That's Entertainment!,http://www.imdb.com/title/tt0072272/?ref_=adv_li_tt,That's Entertainment! (1974),Jack Haley Jr.,null,Jack Haley Jr.,Bing Crosby,Bing Crosby,Jack Haley Jr.,null,studio,1950s,Musical,studio,1950s,compilation film,Metro-Goldwyn-Mayer (MGM),null,null,Musical,,,,See more awards,http://www.imdb.com/title/tt0072272/awards?ref_=tt_awd,"American Cinema Editors, USA
 1975",48 user,18 critic,7.7,"4,105",null,"Kansas City Film Critics Circle Awards
 1974",null,null,See more awards »,English,See more,null,null
Drone,http://www.imdb.com/title/tt3801730/?ref_=adv_li_tt,Drone (2014),Tonje Hessen Schei,null,Tonje Hessen Schei,Brandon Bryant,Brandon Bryant,Tonje Hessen Schei,null,drone pilot,pakistan,War,drone pilot,pakistan,13 news articles,Flimmer Film,Radiator Film,Volt Film,War,See more,http://www.imdb.com/title/tt3801730/taglines?ref_=tt_stry_tg,null,,,,5 user,25 critic,6.9,575,,,,null,See more awards »,Norway,See more,Urdu,null
Home,http://www.imdb.com/title/tt1014762/?ref_=adv_li_tt,Home (2009),Yann Arthus-Bertrand,null,Isabelle Delannoy,Jacques Gamblin,Jacques Gamblin,Isabelle Delannoy,Yann Arthus-Bertrand,earth,tar sands,Family,earth,tar sands,1 video,Elzévir Films,EuropaCorp,France 2 (FR2),Family,,,,See more awards,http://www.imdb.com/title/tt1014762/awards?ref_=tt_awd,"Australian Cinematographers Society
 2009",47 user,25 critic,8.6,"19,371",null,"César Awards, France
 2010",null,null,See more awards »,France,French,English,null
The King of Ads,http://www.imdb.com/title/tt2243597/?ref_=adv_li_tt,The King of Ads (1991),Ricardo Albiñana,Jean-Jacques Annaud,Vanessa Paradis,null,null,Vanessa Paradis,Emmanuelle Seigner,director,commercial,tv commercial,director,commercial,tv commercial,null,null,null,null,See more,http://www.imdb.com/title/tt2243597/releaseinfo?ref_=tt_dt_dt,null,,,,1 user,null,5.9,110,,,,null,null,English,See more,null,Stereo
The Five Obstructions,http://www.imdb.com/title/tt0354575/?ref_=adv_li_tt,The Five Obstructions (2003),Jørgen Leth,Lars von Trier,Sophie Destin,Daniel Hernandez Rodriguez,Daniel Hernandez Rodriguez,Sophie Destin,Asger Leth,director,remake,reenactment,director,remake,5 news articles,Almaz Film Productions S.A.,Panic Productions,Wajnbrosse Productions,null,,,,See more awards,http://www.imdb.com/title/tt0354575/awards?ref_=tt_awd,"AARP Movies for Grownups Awards
 2005",37 user,83 critic,7.5,"6,862",null,"Cinema Eye Honors Awards, US
 2015",null,null,See more awards »,Denmark,Danish,English,null
Loose Change 9/11: An American Coup,http://www.imdb.com/title/tt1394268/?ref_=adv_li_tt,Loose Change 9/11: An American Coup (2009),Dylan Avery,null,Dylan Avery,George W. Bush,George W. Bush,Dylan Avery,null,911 conspiracy theory,conspiracy theory,War,911 conspiracy theory,conspiracy theory,1 news article,Collective Minds Media Company,null,null,War,,,,null,,,19 user,9 critic,7.2,"3,034",,,,null,null,English,See more,null,null
Aileen Wuornos: The Selling of a Serial Killer,http://www.imdb.com/title/tt0103634/?ref_=adv_li_tt,Aileen Wuornos: The Selling of a Serial Killer (1992),Nick Broomfield,null,Nick Broomfield,Cannonball,Cannonball,Nick Broomfield,null,female serial killer,killer,humiliation,female serial killer,killer,5 news articles,Channel 4 Television Corporation,Lafayette Films,null,4 February 1994 (USA),See more,http://www.imdb.com/title/tt0103634/releaseinfo?ref_=tt_dt_dt,null,,,,13 user,10 critic,7,"2,002",,,,null,See more awards »,English,See more,null,null
Chuck Norris vs. Communism,http://www.imdb.com/title/tt2442080/?ref_=adv_li_tt,Chuck Norris vs. Communism (2015),Ilinca Calugareanu,null,Ilinca Calugareanu,Dan Chiorean,Dan Chiorean,Ilinca Calugareanu,null,1980s,black market,History,1980s,black market,11 news articles,Vernon Films,Passion Pictures,Impact Partners,History,,,,See more awards,http://www.imdb.com/title/tt2442080/awards?ref_=tt_awd,"Edinburgh International Film Festival
 2015",8 user,46 critic,7.5,"1,301",null,"Hamptons International Film Festival
 2015",null,null,See more awards »,UK,Romanian,null,Romania
Loose Change 9/11: An American Coup,http://www.imdb.com/title/tt1394268/?ref_=adv_li_tt,Loose Change 9/11: An American Coup (2009),Dylan Avery,null,Dylan Avery,George W. Bush,George W. Bush,Dylan Avery,null,911 conspiracy theory,conspiracy theory,War,911 conspiracy theory,conspiracy theory,1 news article,Collective Minds Media Company,null,null,War,See more,http://www.imdb.com/title/tt1394268/releaseinfo?ref_=tt_dt_dt,null,,,,19 user,9 critic,7.2,"3,034",,,,null,null,English,See more,null,null
American Bigfoot,http://www.imdb.com/title/tt6048388/?ref_=adv_li_tt,American Bigfoot (2016),Bobcat Goldthwait,null,Alexie Gilmore,James Fay,James Fay,Alexie Gilmore,Bryce Johnson,null,null,null,Documentary,Short,null,Type 55 Films,null,null,null,Add content advisory for parents,http://www.imdb.com/title/tt6048388/parentalguide?ref_=tt_stry_pg,null,,,,null,null,7.4,5,,,,null,null,English,Add content advisory for parents,null,Color
The Five Obstructions,http://www.imdb.com/title/tt0354575/?ref_=adv_li_tt,The Five Obstructions (2003),Jørgen Leth,Lars von Trier,Sophie Destin,Daniel Hernandez Rodriguez,Daniel Hernandez Rodriguez,Sophie Destin,Asger Leth,director,remake,reenactment,director,remake,5 news articles,Almaz Film Productions S.A.,Panic Productions,Wajnbrosse Productions,null,null,,,,,,37 user,83 critic,7.5,"6,862",,,,null,See more awards »,Denmark,Danish,English,null
Kids for Cash,http://www.imdb.com/title/tt2925642/?ref_=adv_li_tt,Kids for Cash (2013),Robert May,null,Robert May,Justin Bodnar,Justin Bodnar,Robert May,null,scandal,home movie footage,Drama,scandal,home movie footage,6 news articles,SenArt Films,null,null,Drama,,,,null,,,11 user,44 critic,7.1,"1,685",,,,null,null,USA,English,null,null
The Confessions of Thomas Quick,http://www.imdb.com/title/tt4857574/?ref_=adv_li_tt,The Confessions of Thomas Quick (2015),Brian Hill,null,Oskar Thunberg,Leo Sigelius,Leo Sigelius,Oskar Thunberg,Erik Lennblad,serial killer,null,null,serial killer,null,null,Century Films,Film i Väst,Filmgate Films,null,,,,null,,,2 user,10 critic,6.3,344,,,,null,null,UK,English,null,null
Harold and Lillian: A Hollywood Love Story,http://www.imdb.com/title/tt4683668/?ref_=adv_li_tt,Harold and Lillian: A Hollywood Love Story (2015),Daniel Raim,null,Daniel Raim,Danny DeVito,Danny DeVito,Daniel Raim,null,null,null,null,Documentary,Biography,null,Adama Films,null,null,17 November 2015 (USA),null,,,,,,6 user,38 critic,8.2,123,,,,null,See more awards »,USA,English,null,null
Untitled Human Intelligence Project,http://www.imdb.com/title/tt6802922/?ref_=adv_li_tt,Untitled Human Intelligence Project (2018),Morgan Spurlock,null,null,null,null,null,null,null,null,null,Documentary,null,null,Futurism Studios,Warrior Poets,null,null,,,,null,,,null,null,null,null,,,,null,null,USA,English,null,Color
I Know What I Saw,http://www.imdb.com/title/tt1579236/?ref_=adv_li_tt,I Know What I Saw (2009),James Fox,Tim Coleman,Tom Christopher,Kenneth Arnold,Kenneth Arnold,Tom Christopher,Tim Coleman,five word title,airplane passenger,paris france,five word title,airplane passenger,3 news articles,History Channel,null,null,null,null,,,,,,1 user,2 critic,7.3,324,,,,null,null,USA,English,null,company contact information
Harold and Lillian: A Hollywood Love Story,http://www.imdb.com/title/tt4683668/?ref_=adv_li_tt,Harold and Lillian: A Hollywood Love Story (2015),Daniel Raim,null,Daniel Raim,Danny DeVito,Danny DeVito,Daniel Raim,null,null,null,null,Documentary,Biography,null,Adama Films,null,null,17 November 2015 (USA),,,,See more awards,http://www.imdb.com/title/tt4683668/awards?ref_=tt_awd,"Cannes Film Festival
 2015",6 user,38 critic,8.2,123,null,null,null,null,See more awards »,USA,English,null,null
The Color of Fear,http://www.imdb.com/title/tt0484384/?ref_=adv_li_tt,The Color of Fear (1994),Lee Mun Wah,null,Roberto Almazán,Roberto Almanzán,Roberto Almanzán,Roberto Almazán,David Lee,racism,psychology,null,racism,psychology,null,null,null,null,null,,,,null,,,4 user,null,8,179,,,,null,null,English,See more,null,null
Los Ojos del Mar,http://www.imdb.com/title/tt6195848/?ref_=adv_li_tt,Los Ojos del Mar (2017),José Álvarez,null,Diego Rivera Kohn,Hortensia Pérez Rocha,Hortensia Pérez Rocha,Diego Rivera Kohn,José Álvarez,null,null,null,Documentary,null,null,Piano,null,null,null,,,,See more awards,http://www.imdb.com/title/tt6195848/awards?ref_=tt_awd,"Guadalajara International Film Festival
 2017",1 user,null,8.6,5,null,"Nyon Visions du Réel
 2017",null,null,See more awards »,Spanish,See more,null,null
180° South,http://www.imdb.com/title/tt1407927/?ref_=adv_li_tt,180° South (2010),Chris Malloy,null,Jeff Johnson,Keith Malloy,Keith Malloy,Jeff Johnson,Chris Malloy,digit in title,cardinal direction in title,Sport,digit in title,cardinal direction in title,2 videos,Woodshed Films Inc.,null,null,Sport,,,,null,,,18 user,5 critic,7.7,"2,503",,,,null,null,USA,English,Spanish,"Baja California, Mexico"
